Newspaper,Date,CoderA,CoderB,CoderC
Asahi,2015/5/15,2,1,1
Asahi,2015/5/20,3,3,2
Asahi,2015/5/28,3,2,2
Asahi,2015/5/29,3,1,2
Asahi,2015/5/30,3,1,1
Asahi,2015/6/2,3,3,2
Asahi,2015/6/5,3,2,2
Asahi,2015/6/9,3,1,1
Asahi,2015/6/12,3,3,2
Asahi,2015/6/12,3,2,1
Asahi,2015/6/16,2,2,1
Asahi,2015/6/23,2,2,1
Asahi,2015/7/7,3,2,2
Asahi,2015/7/11,3,1,2
Asahi,2015/7/14,2,3,1
Asahi,2015/7/16,3,1,1
Asahi,2015/7/17,3,1,1
Asahi,2015/7/18,3,2,1
Asahi,2015/7/22,2,3,2
Asahi,2015/7/25,2,2,2
Asahi,2015/7/28,3,1,1
Asahi,2015/8/4,3,2,2
Asahi,2015/8/5,3,2,3
Asahi,2015/8/9,2,2,1
Asahi,2015/8/10,2,2,2
Asahi,2015/8/16,3,2,2
Asahi,2015/8/20,3,2,1
Asahi,2015/8/29,3,2,2
Asahi,2015/8/31,2,3,2
Asahi,2015/9/1,3,3,3
Asahi,2015/9/2,3,2,2
Asahi,2015/9/4,3,1,1
Asahi,2015/9/8,3,2,1
Asahi,2015/9/9,3,2,2
Asahi,2015/9/15,3,2,1
Asahi,2015/9/18,2,2,1
Asahi,2015/9/19,3,1,1
Asahi,2015/9/20,3,2,1
Chugoku,2015/5/15,3,3,1
Chugoku,2015/5/21,3,3,2
Chugoku,2015/5/27,3,2,2
Chugoku,2015/6/11,3,2,1
Chugoku,2015/6/24,3,2,1
Chugoku,2015/6/28,3,2,1
Chugoku,2015/7/9,3,2,2
Chugoku,2015/7/14,3,3,1
Chugoku,2015/7/16,2,1,1
Chugoku,2015/7/17,3,3,1
Chugoku,2015/7/20,3,2,2
Chugoku,2015/7/23,2,2,2
Chugoku,2015/7/28,3,3,2
Chugoku,2015/8/6,3,2,2
Chugoku,2015/8/10,2,2,2
Chugoku,2015/8/22,3,2,2
Chugoku,2015/8/26,3,3,3
Chugoku,2015/8/31,3,2,2
Chugoku,2015/9/2,3,2,2
Chugoku,2015/9/8,3,2,1
Chugoku,2015/9/9,3,2,2
Chugoku,2015/9/16,3,1,1
Chugoku,2015/9/18,3,1,1
Chugoku,2015/9/19,3,1,1
Chunichi,2015/5/15,2,2,1
Chunichi,2015/5/20,3,2,2
Chunichi,2015/5/21,3,3,1
Chunichi,2015/5/27,3,2,1
Chunichi,2015/5/28,3,4,1
Chunichi,2015/5/29,3,3,2
Chunichi,2015/5/31,3,1,2
Chunichi,2015/6/2,3,2,2
Chunichi,2015/6/6,3,3,1
Chunichi,2015/6/7,3,2,2
Chunichi,2015/6/11,3,2,1
Chunichi,2015/6/12,3,2,1
Chunichi,2015/6/13,2,1,1
Chunichi,2015/6/18,3,2,2
Chunichi,2015/6/18,3,3,1
Chunichi,2015/6/23,2,2,1
Chunichi,2015/6/27,3,2,2
Chunichi,2015/6/27,3,2,1
Chunichi,2015/7/2,3,2,1
Chunichi,2015/7/4,3,3,2
Chunichi,2015/7/11,3,1,1
Chunichi,2015/7/14,3,2,2
Chunichi,2015/7/15,3,2,1
Chunichi,2015/7/16,2,2,1
Chunichi,2015/7/17,2,2,1
Chunichi,2015/7/18,2,2,2
Chunichi,2015/7/19,3,1,2
Chunichi,2015/7/22,3,1,1
Chunichi,2015/7/26,3,2,4
Chunichi,2015/7/28,4,3,1
Chunichi,2015/7/31,3,2,1
Chunichi,2015/8/4,3,2,1
